person,name,lat,lng,type,time,modernName,ancientName
伍子胥,楚国故地,29.82,112.9,birth,约前559年,湖北监利一带,楚国故地
伍子胥,楚国郢都,30.386639,112.198552,normal,约前522年,湖北荆州纪南城一带,楚国郢都
伍子胥,宋国商丘,34.414961,115.656358,normal,约前522年,河南商丘,宋国商丘
伍子胥,郑国新郑,34.396433,113.73967,normal,约前521年,河南新郑,郑国新郑
伍子胥,昭关,31.716,118.061,normal,约前521年,安徽马鞍山含山北一带,昭关
伍子胥,吴都姑苏,31.298886,120.585316,normal,约前515年,江苏苏州,吴都姑苏
伍子胥,楚国郢都,30.386639,112.198552,normal,约前506年,湖北荆州纪南城一带,楚国郢都
伍子胥,楚国郢都,30.386639,112.198552,normal,约前506年,湖北荆州纪南城一带,楚国郢都
伍子胥,檇李,30.746129,120.755486,normal,约前496年,浙江嘉兴一带,檇李
伍子胥,夫椒,31.124,120.228,normal,约前494年,江苏苏州太湖西山一带,夫椒
伍子胥,吴都姑苏,31.298886,120.585316,normal,约前484年,江苏苏州,吴都姑苏
伍子胥,胥江,31.286,120.575,normal,约前484年,江苏苏州胥江一带,胥江
