person,name,lat,lng,type,time,modernName,ancientName
利玛窦,马切拉塔,39.913704,116.362106,normal,1552年,马切拉塔,马切拉塔
利玛窦,罗马,27.246695,99.289201,normal,1568年,罗马,罗马
利玛窦,澳门,22.18986,113.537971,normal,1582年,澳门,澳门
利玛窦,肇庆,23.050368,112.45999,normal,1583年,肇庆,肇庆
利玛窦,韶州,24.71599,113.562019,normal,1589年,韶州,韶州
利玛窦,南昌,28.665285,115.914825,normal,1595年,南昌,南昌
利玛窦,北京,39.902776,116.401145,normal,1598年,北京,北京
利玛窦,南京,32.061419,118.79144,normal,1600年,南京,南京
利玛窦,北京,39.902776,116.401145,normal,1601年,北京,北京
利玛窦,北京,39.902776,116.401145,death,1610年,北京,北京
