person,name,lat,lng,type,time,modernName,ancientName
李白,出生地（存疑）,42.7667,75.3,birth,公元701年,吉尔吉斯斯坦托克马克市,说法不一，一说碎叶城，一说蜀中
李白,蜀中（昌隆/青莲）,31.7781,104.7456,normal,约公元705年 - 724年,四川省江油市青莲镇,昌隆县
李白,江陵,30.3351,112.2397,normal,约公元725年,湖北省荆州市,荆州江陵
李白,金陵,32.0603,118.7969,normal,约公元726年及多次重游,江苏省南京市,金陵
李白,安陆,31.2556,113.6833,normal,约公元727年 - 735年,湖北省安陆市,安州安陆
李白,长安,34.3416,108.9398,normal,约公元730年首次入京；公元742年-744年供奉翰林,陕西省西安市,长安
李白,东鲁（任城）,35.4149,116.5871,normal,约公元736年 - 740年及后期,山东省济宁市,任城
李白,梁园（宋州）,34.4142,115.6569,normal,约公元744年 - 755年（多次往返）,河南省商丘市,宋州梁园
李白,宣城,30.9407,118.7587,normal,约公元753年 - 755年（多次）,安徽省宣城市,宣城
李白,浔阳（庐山）,29.7052,116.0017,normal,公元756年,江西省九江市,浔阳庐山
李白,夜郎,28.1333,106.825,normal,公元758年 - 759年（流放途中）,贵州省遵义市桐梓县,夜郎
李白,当涂,31.571,118.498,death,公元762年,安徽省马鞍山市当涂县,当涂
