person,name,lat,lng,type,time,modernName,ancientName
杜甫,巩县,34.748,112.984,birth,公元712年,河南省郑州市巩义市,巩县
杜甫,长安,34.159,108.942,normal,746年-755年,陕西省西安市,长安
杜甫,奉先/鄜州,34.956,109.586,normal,755年-756年,陕西省渭南市蒲城县,奉先/鄜州
杜甫,凤翔,34.522,107.399,normal,757年,陕西省宝鸡市凤翔区,凤翔
杜甫,华州,34.497,109.771,normal,758年-759年,陕西省渭南市华州区,华州
杜甫,秦州/同谷,34.581,105.724,normal,759年,甘肃省天水市,秦州/同谷
杜甫,成都草堂,30.664,104.056,normal,759年底-765年,四川省成都市,成都
杜甫,夔州,31.018,109.464,normal,766年-768年,重庆市奉节县,夔州
杜甫,荆湘（江陵、公安、潭州等）,30.042,112.411,normal,768年-770年,湖北省江陵县、公安县，湖南省长沙市等地,荆湘
杜甫,潭州往岳阳途中,28.235,112.938,death,公元770年冬,湖南省长沙市至岳阳市之间，具体地点存疑,潭州往岳阳途中
