person,name,lat,lng,type,time,modernName,ancientName
梁思成,东京,35.6804,139.769,birth,1901年,日本东京都,日本东京
梁思成,北平,39.9042,116.4074,normal,1912年 - 1923年,北京市,北平
梁思成,费城,39.9526,-75.1652,normal,1924年 - 1927年,美国宾夕法尼亚州费城,美国费城
梁思成,沈阳,41.8057,123.4315,normal,1928年 - 1931年,辽宁省沈阳市,奉天
梁思成,北平（中国营造学社）,39.9042,116.4074,normal,1931年 - 1937年,北京市,北平
梁思成,蓟县,40.0451,117.4017,normal,1932年,天津市蓟州区,蓟县
梁思成,五台山佛光寺,38.719,113.259,normal,1937年,山西省忻州市五台县,五台县
梁思成,李庄,28.77,104.83,normal,1940年 - 1946年,四川省宜宾市翠屏区李庄镇,李庄
梁思成,清华大学,39.9929,116.3268,normal,1946年 - 1972年,北京市海淀区,北平/北京
梁思成,北京,39.9042,116.4074,death,1972年1月9日,北京市,北京
