person,name,lat,lng,type,time,modernName,ancientName
王安石,临江军清江县,28.0567,115.5465,birth,约公元1021年,江西省樟树市,临江军清江县
王安石,江宁（少年求学）,32.0663,118.8495,normal,约1029年-1036年,江苏省南京市,江宁府
王安石,开封（初入仕途）,34.7971,114.3075,normal,1042年,河南省开封市,开封府
王安石,扬州（签书判官）,32.3944,119.413,normal,约1042年-1045年,江苏省扬州市,扬州
王安石,舒州（通判任职）,30.6311,116.5761,normal,约1051年-1054年,安徽省潜山市,舒州
王安石,常州（知州施政）,31.8107,119.9741,normal,约1057年-1058年,江苏省常州市,常州
王安石,开封（上万言书）,34.7971,114.3075,normal,1058年,河南省开封市,开封府
王安石,江宁府（讲学著述）,32.0663,118.8495,normal,1063年-1067年,江苏省南京市,江宁府
王安石,开封（主持变法）,34.7971,114.3075,normal,1069年-1076年（两次拜相期间）,河南省开封市,开封府
王安石,江宁府（晚年退隐）,32.0663,118.8495,normal,1076年-1086年,江苏省南京市,江宁府
王安石,江宁府,32.0663,118.8495,death,公元1086年,江苏省南京市,江宁府
