person,name,lat,lng,type,time,modernName,ancientName
苏轼,眉山,39.913704,116.362106,birth,1037年,四川省眉山市东坡区,眉州眉山
苏轼,开封（汴京）,34.797,114.3074,normal,1057年、1061年、1065年—1066年、1069年—1070年、1085年—1089年,河南省开封市,东京、汴梁
苏轼,凤翔,34.52252,107.38592,normal,1061年—1064年,陕西省宝鸡市凤翔区,凤翔府
苏轼,杭州,30.29412,120.16862,normal,1071年—1074年、1089年—1091年,浙江省杭州市,杭州、临安
苏轼,密州,36.009023352431456,119.40713474607668,normal,1074年—1076年,山东省潍坊市诸城市,密州
苏轼,徐州,34.26963,117.18768,normal,1077年—1079年初,江苏省徐州市,徐州
苏轼,湖州,30.86496,120.09931,normal,1079年,浙江省湖州市,湖州
苏轼,黄州,30.4560187,114.8673226,normal,1080年—1084年,湖北省黄冈市黄州区,黄州
苏轼,登州,37.79495227610483,120.82427673879796,normal,1085年,山东省烟台市蓬莱区,登州
苏轼,颍州,32.90306,115.80901,normal,1091年,安徽省阜阳市颍州区,颍州
苏轼,扬州,32.3968554,119.4077658,normal,1092年,江苏省扬州市,扬州
苏轼,定州,38.52006,114.97504,normal,1092年—1093年,河北省保定市定州市,定州
苏轼,惠州,23.1125153,114.4127007,normal,1094年—1097年,广东省惠州市,惠州
苏轼,儋州,19.5173795,109.5697188,normal,1097年—1100年,海南省儋州市,儋州
苏轼,常州,31.78278,119.9523,death,1101年,江苏省常州市,常州
