person,name,lat,lng,type,time,modernName,ancientName
苏轼,眉州眉山,30.079934,103.846315,birth,1037年—1056年,四川省眉山市,眉州眉山
苏轼,开封（汴京）,34.798963,114.308423,normal,1056年—1057年；1061年—1064年；1069年—1071年；1085年—1089年（多次往返）,河南省开封市,汴京
苏轼,凤翔府,34.523302,107.396025,normal,1061年—1064年,陕西省宝鸡市凤翔区,凤翔府
苏轼,杭州（两度任职）,30.248993,120.205366,normal,1071年—1074年（通判）；1089年—1091年（知州）,浙江省杭州市,杭州
苏轼,密州,35.995725,119.404118,normal,1074年—1076年,山东省诸城市,密州
苏轼,徐州,34.205515,117.277999,normal,1077年—1079年,江苏省徐州市,徐州
苏轼,黄州,30.456388,114.867363,normal,1080年—1084年,湖北省黄冈市,黄州
苏轼,惠州,23.114865,114.410619,normal,1094年—1097年,广东省惠州市,惠州
苏轼,儋州（昌化军）,19.522922,109.576802,normal,1097年—1100年,海南省儋州市,昌化军
苏轼,常州,31.813354,119.969342,death,1101年,江苏省常州市,常州
