person,name,lat,lng,type,time,modernName,ancientName
诸葛亮,琅琊阳都,35.5498,118.4657,birth,公元181年,山东省临沂市沂南县,琅琊郡阳都县
诸葛亮,襄阳隆中,32.0136,112.0293,normal,约公元195年 - 207年,湖北省襄阳市襄城区,荆州南阳郡邓县隆中
诸葛亮,柴桑,29.6093,115.9113,normal,公元208年,江西省九江市,江夏郡柴桑县
诸葛亮,赤壁,29.7222,113.9006,normal,公元208年,荆州南郡（古战场位置说法不一，一般认为在今湖北省赤壁市）,赤壁
诸葛亮,成都,30.6462,104.0495,normal,公元214年 - 227年（主要居留）,四川省成都市,益州蜀郡成都县
诸葛亮,白帝城,31.0168,109.4648,normal,公元223年,重庆市奉节县,巴郡鱼复县
诸葛亮,汉中,33.15,106.65,normal,公元227年 - 234年（多次往返）,陕西省汉中市,益州汉中郡
诸葛亮,祁山,34.1875,105.2653,normal,公元228年春（第一次北伐）,甘肃省陇南市礼县祁山堡,凉州天水郡
诸葛亮,五丈原,34.2658,107.6186,normal,公元234年,陕西省宝鸡市岐山县,扶风郡五丈原
诸葛亮,五丈原,34.2658,107.6186,death,公元234年10月,陕西省宝鸡市岐山县,扶风郡五丈原
